Microrganismo,Código
Staphylococcus fleurettii, 309
Staphylococcus gallinarum, 310
Staphylococcus hyicus, 311
Staphylococcus intermedius, 312
Staphylococcus kloosii, 313
Staphylococcus lentus, 314
Staphylococcus massiliensis, 315
Staphylococcus microti, 316
Staphylococcus muscae, 317
Staphylococcus nepalensis, 318
Staphylococcus pasteuri, 319
Staphylococcus pettenkoferi, 320
Staphylococcus piscifermentans, 321
Staphylococcus pseudintermedius, 322
Staphylococcus saccharolyticus, 323
Staphylococcus schleiferi, 324
Staphylococcus sciuri, 325
Staphylococcus simiae, 326
Staphylococcus simulans, 327
Staphylococcus stepanovicii, 328
Staphylococcus succinus, 329
Staphylococcus vitulinus, 330
Staphylococcus warneri, 331
Staphylococcus xylosus, 332
Streptococcus pyogenes, 333
Superficieibacter electus, 334
Tatumella ptyseos, 335
Trabulsiella guamensis, 336
Trabulsiella odontotermitis, 337
Trabulsiella spp., 338
Yersinia aldovae, 339
Yersinia enterocolitica, 340
Yersinia frederiksenii, 341
Yersinia intermedia, 342
Yersinia kristensenii, 343
Yersinia pestis, 344
Yersinia pseudotuberculosis, 345
Yersinia rucker, 346
Yersinia spp, 347
Yokenella regensburgei, 348
Trichosporon asahii, 349
Citrobacter koseri, 350
Cryptococcus spp., 351
Cryptococcus neoformans, 352
Pseudomonas luteola, 353
Achromobacter xylosoxidans, 354
Bordetella bronchiseptica, 356
Pseudomonas oryzihabitans, 357
Candida dubliniensis, 358
Pseudomonas oleovorans, 359
Comamonas testosteroni, 360
Bordetella trematum, 361
Bacillus firmus, 362
Malassezia furfur, 363
Bacillus subtilis/amyloliquefaciens/atrophaeus, 364
Candida lipolytica, 365
Roseomonas gilardii, 366
Bacillus flexus, 367
Francisella tularensis, 368
Bacillus altitudinis/pumilus, 369
Paenibacillus lautus, 370
Granulicatella elegans, 371
Aerococcus viridans, 372
Streptococcus pseudoporcinus, 373
Coagulase negative Staphylococcus, 374
Enterobacter cloacae complex, 375
Cupriavidus pauculus, 376
Chryseobacterium indologenes, 377
Bacillus megaterium, 378
Bacillus cereus/thuringiensis/mycoides, 379
Achromobacter denitrificans, 380
Aeromonas salmonicida, 381
Pandoraea spp, 382
Methylobacterium spp, 383
Rhizobium radiobacter, 384
Enterococcus durans, 385
Candida spherica, 386
Streptococcus gallolyticus ssp pasteurianus, 387
Kocuria rhizophila, 388
Candida lusitaniae, 389
Brevundimonas diminuta/vesicularis, 390
Candida spp, 391
Pseudomonas spp, 392
Pasteurella testudinis, 393
Streptococcus group A, 394
Enterococcus avium, 395
Leuconostoc mesenteroides ssp cremoris, 396
Bacillus spp, 397
Pasteurella canis, 398
Brevibacterium casei, 399
Candida haemulonii, 400
Outro, 401
